,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
380,Goat Song,Frank Yerby,Sparta,Greece,Goat Song,"Sparta, Greece","Sparta, Δήμος Σπάρτης, Περιφερειακή Ενότητα Λακωνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 231 00, Ελλάς",Ελλάς,"Sparta, Δήμος Σπάρτης, Περιφερειακή Ενότητα Λακωνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 231 00, Ελλάς","Sparta, Δήμος Σπάρτης, Περιφερειακή Ενότητα Λακωνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 231 00, Ελλάς",37.0744494,22.4301778,"Sparta, Δήμος Σπάρτης, Περιφερειακή Ενότητα Λακωνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 231 00, Ελλάς"
381,In the Skin of a Lion,Michael Ondaatje,Toronto,Canada,In the Skin of a Lion,"Toronto, Canada","Toronto, Golden Horseshoe, Ontario, Canada",Canada,"Toronto, Golden Horseshoe, Ontario, Canada","Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347,"Toronto, Golden Horseshoe, Ontario, Canada"
384,Micah Clarke,Arthur Conan Doyle,Sedgemoor,England,Micah Clarke,"Sedgemoor, England","Sedgemoor, Somerset, England, United Kingdom","England, United Kingdom","Sedgemoor, Somerset, England, United Kingdom","Sedgemoor, Somerset, England, United Kingdom",51.186833899999996,-2.96842123193061,"Sedgemoor, Somerset, England, United Kingdom"
385,Middlesex,Jeffrey Eugenides,Detroit,United States,Middlesex (novel),"Detroit, United States","Detroit, Wayne County, Michigan, United States",United States,"Detroit, Wayne County, Michigan, United States","Detroit, Wayne County, Michigan, United States",42.3315509,-83.0466403,"Detroit, Wayne County, Michigan, United States"
386,Il Gattopardo,Giuseppe Tomasi di Lampedusa,Palma di Montechiaro and Santa Margherita Belice (Donnafugata),"Sicily, Italy",Il Gattopardo,"Palma di Montechiaro and Santa Margherita Belice (Donnafugata), Sicily, Italy",,"Sicilia, Italia",,"Sicilia, Italia",37.587794,14.155048,"Sicilia, Italia"
388,Prince of Foxes,C.S. Forester,Rome,Italy,Prince of Foxes,"Rome, Italy","Roma, Roma Capitale, Lazio, Italia",Italia,"Roma, Roma Capitale, Lazio, Italia","Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
391,Danza del principe Genji,,Lucca,Italy,The Tale of Genji,"Lucca, Italy","Lucca, Toscana, Italia",Italia,"Lucca, Toscana, Italia","Lucca, Toscana, Italia",44.017763900000006,10.454430026192636,"Lucca, Toscana, Italia"
392,Arthur & George,Julian Barnes,Birmingham,England,Arthur & George,"Birmingham, England","Birmingham, West Midlands Combined Authority, England, United Kingdom","England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911,"Birmingham, West Midlands Combined Authority, England, United Kingdom"
393,Kamienie na szaniec,Aleksander Kamiński,Warsaw,Poland,Kamienie na szaniec,"Warsaw, Poland","Warszawa, województwo mazowieckie, Polska",Polska,"Warszawa, województwo mazowieckie, Polska","Warszawa, województwo mazowieckie, Polska",52.2337172,21.071432235636493,"Warszawa, województwo mazowieckie, Polska"
395,Shadow Country,Peter Matthiessen,Chokoloskee Island,United States,Shadow Country,"Chokoloskee Island, United States","Chokoloskee Island, Chokoloskee, Collier County, Florida, United States",United States,"Chokoloskee Island, Chokoloskee, Collier County, Florida, United States","Chokoloskee Island, Chokoloskee, Collier County, Florida, United States",25.8238706,-81.35972717542958,"Chokoloskee Island, Chokoloskee, Collier County, Florida, United States"
396,Morgan's Run,Colleen McCullough,Norfolk Island,Australia,Morgan's Run,"Norfolk Island, Australia","Norfolk Island, Australia",Australia,"Norfolk Island, Australia","Norfolk Island, Australia",-29.0328038,167.9483137,"Norfolk Island, Australia"
397,Laura Blundy,Julie Myerson,London,United Kingdom,Laura Blundy,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
398,A Council of Dolls,Mona Susan Power (Standing Rock Sioux),Minneapolis,United States,A Council of Dolls,"Minneapolis, United States","Minneapolis, Hennepin County, Minnesota, United States",United States,"Minneapolis, Hennepin County, Minnesota, United States","Minneapolis, Hennepin County, Minnesota, United States",44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States"
400,The Folding Star,Alan Hollinghurst,Ostend,Belgium,The Folding Star,"Ostend, Belgium","Oostende, West-Vlaanderen, Vlaanderen, 8400, België / Belgique / Belgien",België / Belgique / Belgien,"Oostende, West-Vlaanderen, Vlaanderen, 8400, België / Belgique / Belgien","Oostende, West-Vlaanderen, Vlaanderen, 8400, België / Belgique / Belgien",51.2258565,2.919496,"Oostende, West-Vlaanderen, Vlaanderen, 8400, België / Belgique / Belgien"
402,The Power and the Glory,Graham Greene,Tabasco,Mexico,The Power and the Glory,"Tabasco, Mexico","Tabasco, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Tabasco, México","Tabasco, México",17.9999288,-92.6681659,"Tabasco, México"
403,Os Sertões,Euclides da Cunha,Canudos,Brazil,Os Sertões,"Canudos, Brazil","Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil",Brasil,"Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil","Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil",-9.8948692,-39.0266244,"Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil"
404,The Siege of Krishnapur,J. G. Farrell,Krishnapur,India,The Siege of Krishnapur,"Krishnapur, India","Krishnapur, Chandurbazar, Amravati, Maharashtra, India",India,"Krishnapur, Krishnpur, Maihar Tahsil, Maihar, Madhya Pradesh, India","Krishnapur, Krishnpur, Maihar Tahsil, Maihar, Madhya Pradesh, India",24.1051895,80.8776393379353,"Krishnapur, Krishnpur, Maihar Tahsil, Maihar, Madhya Pradesh, India"
412,Number the Stars,Lois Lowry,Copenhagen,Denmark,Number the Stars,"Copenhagen, Denmark","København, Københavns Kommune, Indre By, Region Hovedstaden, 1357, Danmark",Danmark,"København, Københavns Kommune, Indre By, Region Hovedstaden, 1357, Danmark","København, Københavns Kommune, Indre By, Region Hovedstaden, 1357, Danmark",55.6867243,12.5700724,"København, Københavns Kommune, Indre By, Region Hovedstaden, 1357, Danmark"
413,Year of Wonders,Geraldine Brooks,Eyam,England,Year of Wonders,"Eyam, England","Eyam CP, Derbyshire Dales, Derbyshire, England, United Kingdom","England, United Kingdom","Eyam CP, Derbyshire Dales, Derbyshire, England, United Kingdom","Eyam CP, Derbyshire Dales, Derbyshire, England, United Kingdom",53.2837249,-1.6725141,"Eyam CP, Derbyshire Dales, Derbyshire, England, United Kingdom"
416,Life & Times of Michael K,J. M. Coetzee,Cape Town,South Africa,Life & Times of Michael K,"Cape Town, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",South Africa,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","Cape Town, City of Cape Town, Western Cape, 8001, South Africa",-33.928992,18.417396,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
418,The Lowland,Jhumpa Lahiri,Rhode Island,USA,The Lowland,"Rhode Island, USA","Rhode Island, United States",United States,"Rhode Island, United States","Rhode Island, United States",41.7962409,-71.5992372,"Rhode Island, United States"
421,The Silver Branch,Rosemary Sutcliff,Rutupiae,Roman Britain,The Silver Branch (Sutcliff novel),"Rutupiae, Roman Britain","Richborough Fort, Richborough Road, Ash, Richborough, Dover, Kent, England, CT13 9JQ, United Kingdom",,,"Richborough Fort, Richborough Road, Ash, Richborough, Dover, Kent, England, CT13 9JQ, United Kingdom",51.2929004,1.3318387681341721,"Richborough Fort, Richborough Road, Ash, Richborough, Dover, Kent, England, CT13 9JQ, United Kingdom"
422,Midnight's Children,Salman Rushdie,"Multiple cities including Bombay, Lahore and Dhaka (and various other cities in India and Pakistan)",India,Midnight's Children,"Multiple cities including Bombay, Lahore and Dhaka (and various other cities in India and Pakistan), India",,India,,India,22.3511148,78.6677428,India
423,"Valperga; or, The Life and Adventures of Castruccio, Prince of Lucca",Mary Shelley,Lucca,Italy,Valperga (novel),"Lucca, Italy","Lucca, Toscana, Italia",Italia,"Lucca, Toscana, Italia","Lucca, Toscana, Italia",44.017763900000006,10.454430026192636,"Lucca, Toscana, Italia"
425,An Officer and a Spy,Robert Harris,Paris,France,An Officer and a Spy,"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
428,What Was Lost,Catherine O'Flynn,Birmingham,England,What Was Lost,"Birmingham, England","Birmingham, West Midlands Combined Authority, England, United Kingdom","England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom","Birmingham, West Midlands Combined Authority, England, United Kingdom",52.4796992,-1.9026911,"Birmingham, West Midlands Combined Authority, England, United Kingdom"
429,"Tengo miedo, torero",Pedro Lemebel,Santiago,Chile,My Tender Matador,"Santiago, Chile","Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile",Chile,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile","Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4377756,-70.6504502,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, Chile"
432,On Heroes and Tombs,Ernesto Sabato,Buenos Aires,Argentina,On Heroes and Tombs,"Buenos Aires, Argentina","Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina",Argentina,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina","Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina",-34.6073387,-58.4432852,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina"
434,The Stronghold,Mollie Hunter,Mainland,Orkney Islands,The Stronghold,"Mainland, Orkney Islands","Mainland, Orkney Islands, Alba / Scotland, United Kingdom","Orkney Islands, Alba / Scotland, United Kingdom","Mainland, Orkney Islands, Alba / Scotland, United Kingdom","Mainland, Orkney Islands, Alba / Scotland, United Kingdom",59.013374299999995,-3.231491934503152,"Mainland, Orkney Islands, Alba / Scotland, United Kingdom"
437,The Eagle's Conquest,,"Gesoriacum, Isle of Thanet",Roman Empire,Under the Eagle,"Gesoriacum, Isle of Thanet, Roman Empire",,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",51.5322382,-0.033679,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
439,Dark Cloud,N/A,Tenochtítlan,Mexico,Aztec (novel),"Tenochtítlan, Mexico","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México","Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México",24.0769214,-104.5843863,"Tenochtitlan, Durango, Municipio de Durango, Durango, 34234, México"
440,The Stars in the Bright Sky,Alan Warner,London,United Kingdom,The Stars in the Bright Sky,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
443,The Athenian Murders,José Carlos Somoza,Athens,Greece,The Athenian Murders,"Athens, Greece","Athens-Clarke County Unified Government, Athens-Clarke County, Georgia, United States",Ελλάς,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς","Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς",37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς"
444,The Lymond Chronicles,['Dorothy Dunnett'],Paris,France,Lymond Chronicles,"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
446,The Jade Peony,Wayson Choy,Vancouver,Canada,The Jade Peony,"Vancouver, Canada","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",Canada,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
447,Life and Fate,Vasily Grossman,Stalingrad,Soviet Union,Life and Fate,"Stalingrad, Soviet Union","Волгоград, Волгоградская область, Южный федеральный округ, Россия","Soviet Union, Strada Lacului, Slobozia, Ialomița, 920012, România",,"Волгоград, Волгоградская область, Южный федеральный округ, Россия",48.6484138,44.384975590129905,"Волгоград, Волгоградская область, Южный федеральный округ, Россия"
448,Doctor Zhivago,Boris Pasternak,Yuriatin (Perm),Russia,Doctor Zhivago (novel),"Yuriatin (Perm), Russia",,Россия,,Россия,64.6863136,97.7453061,Россия
449,Frankissstein: A Love Story,Jeanette Winterson,Geneva,Switzerland,Frankissstein,"Geneva, Switzerland","Genève, Schweiz/Suisse/Svizzera/Svizra",Schweiz/Suisse/Svizzera/Svizra,"Genève, Schweiz/Suisse/Svizzera/Svizra","Genève, Schweiz/Suisse/Svizzera/Svizra",46.2017559,6.1466014,"Genève, Schweiz/Suisse/Svizzera/Svizra"
450,Heat and Dust,Ruth Prawer Jhabvala,Satipur,India,Heat and Dust,"Satipur, India",,India,,India,22.3511148,78.6677428,India
452,The Thorn Birds,Colleen McCullough,Drogheda,Australia,The Thorn Birds,"Drogheda, Australia","Drogheda, County Louth, Leinster, Éire / Ireland",Australia,"Drogheda Forest Road, Jaunter, Oberon Council, New South Wales, 2787, Australia","Drogheda Forest Road, Jaunter, Oberon Council, New South Wales, 2787, Australia",-33.9862842,149.8888743,"Drogheda Forest Road, Jaunter, Oberon Council, New South Wales, 2787, Australia"
454,Lazarillo de Tormes,,Toledo,Spain,Lazarillo de Tormes,"Toledo, Spain","Toledo, Castilla-La Mancha, España",España,"Toledo, Castilla-La Mancha, España","Toledo, Castilla-La Mancha, España",39.8560679,-4.0239568,"Toledo, Castilla-La Mancha, España"
460,Gossip from the Forest,Thomas Keneally,Compiègne,France,Gossip from the Forest,"Compiègne, France","Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France",France,"Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France","Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France",49.4179497,2.8263171,"Compiègne, Oise, Hauts-de-France, France métropolitaine, 60200, France"
463,Lincoln,Gore Vidal,Washington D.C.,United States,Lincoln (novel),"Washington D.C., United States","Washington, District of Columbia, United States",United States,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",38.8950368,-77.0365427,"Washington, District of Columbia, United States"
464,The Prague Cemetery,Umberto Eco,Paris,France,The Prague Cemetery,"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
465,Ireland: Awakening,Edward Rutherfurd,Ireland,Ireland,Ireland: Awakening,"Ireland, Ireland",Éire / Ireland,Éire / Ireland,Éire / Ireland,Éire / Ireland,52.865196,-7.9794599,Éire / Ireland
466,Peony,Pearl S. Buck,Kaifeng,China,Peony (novel),"Kaifeng, China","开封市, 河南省, 中国",中国,"开封市, 河南省, 中国","开封市, 河南省, 中国",34.604167,114.497222,"开封市, 河南省, 中国"
467,Half-Blood Blues,Esi Edugyan,Berlin,Germany,Half-Blood Blues,"Berlin, Germany","Berlin, Deutschland",Deutschland,"Berlin, Deutschland","Berlin, Deutschland",52.5108638,13.3989421,"Berlin, Deutschland"
468,From A to X,John Berger,Suse,Unknown,From A to X,"Suse, Unknown","Susa, Torino, Piemonte, Italia","Unknown, Kumbhraj Tahsil, Guna, Madhya Pradesh, India",,"Susa, Torino, Piemonte, Italia",45.1372115,7.0539789,"Susa, Torino, Piemonte, Italia"
469,The End of a Brave Man,Hanna Mina,Baniyas,Syria,The End of a Brave Man,"Baniyas, Syria","بانياس, ناحية مركز بانياس, منطقة بانياس, محافظة طرطوس, سوريا","سورية, سوريا","بانياس, ناحية مركز بانياس, منطقة بانياس, محافظة طرطوس, سوريا","بانياس, ناحية مركز بانياس, منطقة بانياس, محافظة طرطوس, سوريا",35.1820319,35.9449068,"بانياس, ناحية مركز بانياس, منطقة بانياس, محافظة طرطوس, سوريا"
470,Sour Sweet,Timothy Mo,London,United Kingdom,Sour Sweet,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
472,Hypatia,Charles Kingsley,Alexandria,Egypt,Hypatia (novel),"Alexandria, Egypt","Alessandria, Piemonte, Italia",مصر,"الإسكندرية, 21519, مصر","الإسكندرية, 21519, مصر",31.1991806,29.8951716,"الإسكندرية, 21519, مصر"
473,Shadow Patriots,Lucia St. Clair Robson,New York City,United States,Shadow Patriots,"New York City, United States","City of New York, New York, United States",United States,"City of New York, New York, United States","City of New York, New York, United States",40.7127281,-74.0060152,"City of New York, New York, United States"
476,Trinity,Leon Uris,Ballyutogue,Ireland,Trinity (novel),"Ballyutogue, Ireland",,Éire / Ireland,,Éire / Ireland,52.865196,-7.9794599,Éire / Ireland
485,Mister Pip,Lloyd Jones,Bougainville Island,Papua New Guinea,Mister Pip,"Bougainville Island, Papua New Guinea","Bougainville, Autonomous Region of Bougainville, Islands Region, Papua Niugini",Papua Niugini,"Bougainville, Autonomous Region of Bougainville, Islands Region, Papua Niugini","Bougainville, Autonomous Region of Bougainville, Islands Region, Papua Niugini",-6.1441283,155.20593392291414,"Bougainville, Autonomous Region of Bougainville, Islands Region, Papua Niugini"
486,The Harmony Silk Factory,Tash Aw,Ipoh,Malaysia,The Harmony Silk Factory,"Ipoh, Malaysia","Ipoh, Kinta, Perak, 30450, Malaysia",Malaysia,"Ipoh, Kinta, Perak, 30450, Malaysia","Ipoh, Kinta, Perak, 30450, Malaysia",4.5986817,101.0900236,"Ipoh, Kinta, Perak, 30450, Malaysia"
491,Karan Ghelo,Nandshankar Mehta,Surat,India,Karan Ghelo,"Surat, India","Surat, Riom, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63720, France",India,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India","Surat, Katargam Taluka, Surat, Gujarat, 395008, India",21.2094892,72.8317058,"Surat, Katargam Taluka, Surat, Gujarat, 395008, India"
493,Johnny Tremain,Esther Forbes,Boston,United States,Johnny Tremain,"Boston, United States","Boston, Suffolk County, Massachusetts, United States",United States,"Boston, Suffolk County, Massachusetts, United States","Boston, Suffolk County, Massachusetts, United States",42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States"
496,Witiko,Adalbert Stifter,Prague,Czech Republic,Witiko (novel),"Prague, Czech Republic","Praha, obvod Praha 4, Hlavní město Praha, Praha, Česko",Česko,"Hlavní město Praha, Praha, Česko","Hlavní město Praha, Praha, Česko",50.0874654,14.4212535,"Hlavní město Praha, Praha, Česko"
499,Anandamath,Bankim Chandra Chattopadhyay,Padachihna,India,Anandamath,"Padachihna, India",,India,,India,22.3511148,78.6677428,India
500,An Orchestra of Minorities,Chigozie Obioma,Umuahia,Nigeria,An Orchestra of Minorities,"Umuahia, Nigeria","Umuahia, Umuahia North, Abia, Nigeria",Nigeria,"Umuahia, Umuahia North, Abia, Nigeria","Umuahia, Umuahia North, Abia, Nigeria",5.5324032,7.4924165,"Umuahia, Umuahia North, Abia, Nigeria"
504,The Bottle Factory Outing,Beryl Bainbridge,Windsor,England,The Bottle Factory Outing,"Windsor, England","Windsor, Ontario, N9A 3A8, Canada","England, United Kingdom","Windsor Castle, Thames Street, Clewer New Town, Clewer Village, Windsor, Windsor and Maidenhead, England, SL4 1PS, United Kingdom","Windsor Castle, Thames Street, Clewer New Town, Clewer Village, Windsor, Windsor and Maidenhead, England, SL4 1PS, United Kingdom",51.4837886,-0.6040418665032687,"Windsor Castle, Thames Street, Clewer New Town, Clewer Village, Windsor, Windsor and Maidenhead, England, SL4 1PS, United Kingdom"
509,The Lambing Flat,Nerida Newton,Lambing Flat,Australia,The Lambing Flat,"Lambing Flat, Australia","Lambing Flat Creek, Walcha, Walcha Council, New South Wales, 2354, Australia",Australia,"Lambing Flat Creek, Walcha, Walcha Council, New South Wales, 2354, Australia","Lambing Flat Creek, Walcha, Walcha Council, New South Wales, 2354, Australia",-30.863408,151.767965,"Lambing Flat Creek, Walcha, Walcha Council, New South Wales, 2354, Australia"
512,Empire of the Sun,J. G. Ballard,Shanghai,China,Empire of the Sun (novel),"Shanghai, China","上海市, 黄浦区, 上海市, 200001, 中国",中国,"上海市, 中国","上海市, 中国",31.2312707,121.4700152,"上海市, 中国"
514,The Heart of Jade,Salvador de Madariaga,Mexico City,Mexico,The Heart of Jade,"Mexico City, Mexico","Ciudad de México, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Ciudad de México, Cuauhtémoc, Ciudad de México, México",19.4326296,-99.1331785,"Ciudad de México, Cuauhtémoc, Ciudad de México, México"
516,Solar Bones,Mike McCormack,Galway,Ireland,Solar Bones,"Galway, Ireland","Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland",Éire / Ireland,"Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland","Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland",53.2744122,-9.0490601,"Cathair na Gaillimhe, County Galway, Connacht, Éire / Ireland"
517,Centennial,James A. Michener,"Centennial (Greeley, Colorado)",United States,Centennial (novel),"Centennial (Greeley, Colorado), United States","Centennial Park, Greeley, Colorado, United States",United States,"Centennial Park, Greeley, Colorado, United States","Centennial Park, Greeley, Colorado, United States",40.40309945,-104.71713286659151,"Centennial Park, Greeley, Colorado, United States"
521,How to Be Both,Ali Smith,Ferrara,Italy,How to Be Both,"Ferrara, Italy","Ferrara, Emilia-Romagna, Italia",Italia,"Ferrara, Emilia-Romagna, Italia","Ferrara, Emilia-Romagna, Italia",44.766764249999994,11.827938995640167,"Ferrara, Emilia-Romagna, Italia"
523,,D. Manning Richards,Sydney,Australia,Destiny in Sydney (novel),"Sydney, Australia","Sydney, Council of the City of Sydney, New South Wales, Australia",Australia,"Sydney, Council of the City of Sydney, New South Wales, Australia","Sydney, Council of the City of Sydney, New South Wales, Australia",-33.8698439,151.2082848,"Sydney, Council of the City of Sydney, New South Wales, Australia"
524,Sacred Hunger,Peter Ackroyd,St. Augustine,United States,Sacred Hunger,"St. Augustine, United States","St. Augustine, Knox County, Illinois, United States",United States,"St. Augustine, Knox County, Illinois, United States","St. Augustine, Knox County, Illinois, United States",40.7183728,-90.4109616,"St. Augustine, Knox County, Illinois, United States"
525,El Filibusterismo,José Rizal,Manila,Philippines,El filibusterismo,"Manila, Philippines","Manila, Capital District, Metro Manila, Pilipinas",Pilipinas,"Manila, Capital District, Metro Manila, Pilipinas","Manila, Capital District, Metro Manila, Pilipinas",14.5906346,120.9799964,"Manila, Capital District, Metro Manila, Pilipinas"
526,The Testament of Gideon Mack,James Robertson,Monimaskit,Scotland,The Testament of Gideon Mack,"Monimaskit, Scotland",,"Alba / Scotland, United Kingdom",,"Alba / Scotland, United Kingdom",56.7861112,-4.1140518,"Alba / Scotland, United Kingdom"
529,Richard Carvel,Winston Churchill,Annapolis,United States,Richard Carvel,"Annapolis, United States","Annapolis, Anne Arundel County, Maryland, United States",United States,"Annapolis, Anne Arundel County, Maryland, United States","Annapolis, Anne Arundel County, Maryland, United States",38.9786401,-76.492786,"Annapolis, Anne Arundel County, Maryland, United States"
530,The Turquoise,Anya Seton,"New York, Santa Fe, and various other cities in NA",United States,The Turquoise (novel),"New York, Santa Fe, and various other cities in NA, United States",,United States,,United States,39.7837304,-100.445882,United States
531,Notes on a Scandal,Zoë Heller,London,United Kingdom,Notes on a Scandal,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
533,The Black Tulip,"Alexandre Dumas, père",Haarlem,Netherlands,The Black Tulip,"Haarlem, Netherlands","Haarlem, Noord-Holland, Nederland",Nederland,"Haarlem, Noord-Holland, Nederland","Haarlem, Noord-Holland, Nederland",52.3885317,4.6388048,"Haarlem, Noord-Holland, Nederland"
534,Beside the Ocean of Time,George Mackay Brown,Orkney Islands,Scotland,Beside the Ocean of Time,"Orkney Islands, Scotland","Orkney Islands, Alba / Scotland, United Kingdom","Alba / Scotland, United Kingdom","Orkney Islands, Alba / Scotland, United Kingdom","Orkney Islands, Alba / Scotland, United Kingdom",58.8520573,-3.2869398422535223,"Orkney Islands, Alba / Scotland, United Kingdom"
535,Amongst Women,Brian Friel,Great Meadow,Ireland,Amongst Women,"Great Meadow, Ireland","Great Meadow, T19 ED BPP, Washington County, Maine, United States",Éire / Ireland,,"Great Meadow, T19 ED BPP, Washington County, Maine, United States",44.9528533,-67.5958291,"Great Meadow, T19 ED BPP, Washington County, Maine, United States"
537,Oscar and Lucinda,Peter Carey,Bellingen,Australia,Oscar and Lucinda,"Bellingen, Australia","Bellingen, Westerburg, Westerwaldkreis, Rheinland-Pfalz, Deutschland",Australia,"Bellingen Shire Council, New South Wales, Australia","Bellingen Shire Council, New South Wales, Australia",-30.37399135,152.71920995667793,"Bellingen Shire Council, New South Wales, Australia"
539,10 Minutes and 38 Seconds in This Strange World,Elif Shafak,Istanbul,Turkey,10 Minutes 38 Seconds in This Strange World,"Istanbul, Turkey","İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye",Türkiye,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye","İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye",41.006381,28.9758715,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye"
